"product","node_comp","betweenness_comp","clustering_comp","node_subs","betweenness_subs","clustering_subs"
"(S)RAGU CHNKY GRDNSTYL GR",0.33284397133654,0,0.4,13.2734215110258,0,0.645316549426138
"*HODGE WHEAT SPAGHETTI",0.259887575589083,0.00425654714667051,0.527272727272727,3.90928128988858,0.0121924825048698,0.397624039133473
"A J BUTTER RICH SYRUP",0.431951123378503,0,0.0357142857142857,6.70341417224299,0,0.606060606060606
"A/JEM COMPLETE PANCAKE MI",0.60464606805354,0,0.0384615384615385,5.14390980599788,0,0.476190476190476
"AJ BUTTERMILK PANCAKE MIX",0.998274239157965,0.0578601832479619,0.0659340659340659,5.26968705157242,0.00129860760406897,0.429435483870968
"ANT JEMIMA CONTRY RICH SY",0.462553065183183,7.21448668927206e-05,0.0357142857142857,10.4230916556919,0.000721448668927206,0.346560846560847
"AUNT JEM ORIGINAL PANCAKE MIX",0.712598484859729,0.000144289733785441,0.0659340659340659,5.46561198893941,7.21448668927206e-05,0.61437908496732
"AUNT JEMIMA LITE SYRUP",0.300323901828022,0,0.0666666666666667,7.07866668544402,7.21448668927206e-05,0.423333333333333
"AUNT JEMIMA ORIGINL SYRUP",0.600685092323394,0.00122646273717625,0.0357142857142857,5.30195172515697,0,0.455882352941176
"BARILLA ANGEL HAIR",0.643838333337043,0.00584373421831037,0.342857142857143,4.00447588054357,0.000432869201356323,0.564784053156146
"BARILLA ELBOW PASTA",0.416954575716337,0.00404011254599235,0.777777777777778,1.72959562360785,0.0128417863069043,0.40531561461794
"BARILLA FARFALLE PASTA",0.658785122394874,0.00101002813649809,0.533333333333333,1.37386953088503,0,0.374747474747475
"BARILLA FETTUCCINE PSTA",0.702776378806684,0.0236635163408123,0.495238095238095,4.52143198774047,0.0342688117740423,0.454790823211876
"BARILLA LINGUINI PASTA",0.487747887490762,0,0.628205128205128,1.68439930922291,0.000793593535819926,0.402150537634409
"BARILLA MOSTACCIOLI",0.330608073395442,0,0.972222222222222,0.796591668888993,0,0.728260869565217
"BARILLA PENNE RIGATE",0.680916007486326,0.00144289733785441,0.433823529411765,2.60173827166024,0.000360724334463603,0.40041928721174
"BARILLA ROTINI",0.57062213316054,0.0160883053170767,0.654545454545455,1.29765600666825,0,0.410975609756098
"BARILLA SPAGHETTI PASTA",0.545674797566663,0.00346295361085059,0.404411764705882,6.06056803472359,0.00425654714667051,0.588888888888889
"BARILLA THIN SPAGHETTI PS",0.607787879681539,0.0403289805930308,0.350877192982456,5.21585075885687,0.00259721520813794,0.528502415458937
"BERTOLLI ALFREDO SAUCE",0.393210801750293,0.00288579467570882,0.472222222222222,2.56136288527045,0.0243128201428468,0.556122448979592
"BISQUICK SHK PR BTMK PNK",0.417508677195419,0,0.0659340659340659,5.55469725592557,0.0455955558761994,0.408199643493761
"CHUNKY TOMATO GARLC ONION",0.643331203152728,0,0.56043956043956,7.22833797712622,0.0045451266142414,0.583227848101266
"CLASSICO ALFREDO DI ROMA",0.587444455773637,0.014212538777866,0.436363636363636,1.76143440011221,0.000432869201356323,0.529448621553885
"CLASSICO FOUR CHEESE SCE",0.413614223659738,0,0.822222222222222,1.69974219309154,0,0.61851106639839
"CLASSICO GRD VEG PRIMAVER",0.457758510545006,0,0.972222222222222,0.751963317099602,0,0.595238095238095
"CLASSICO MUSH&RIPE OLIVES",0.475543795581717,0,0.696969696969697,1.53870537525803,0,0.631235431235431
"CLASSICO SPICY RED PEPPER",0.52215529404223,0.00144289733785441,0.8,0.747401794896442,0,0.581395348837209
"CLASSICO SUN DRIED TOMATO",0.540479330365748,0.00115431787028353,0.341666666666667,1.50782893129026,0.000793593535819926,0.603723404255319
"CLSCO ALFREDO ROAST GARLC",0.584119745141461,0.0162325950508621,0.418181818181818,1.14674913233356,0.000505014068249044,0.548387096774194
"CLSCO CABERNET MARINARA",0.585125713401993,0.0111824543683717,0.709090909090909,1.13420423896396,0,0.482174167153711
"CLSCO SAUCE ITALIAN SAUSG",0.52225533646569,0,0.781818181818182,1.57214658994574,0,0.566233766233766
"CLSCO SAUCE TOMATO/GARLIC",0.671087278719232,0.00562729961763221,0.641025641025641,1.84963304585542,0,0.607017543859649
"CLSCO SAUCE TOMATOE BASIL",0.691953400099911,0.0267657456171993,0.389705882352941,2.91652455861408,0,0.626794258373206
"CLSCO SPICY TOMATO SAUCE",0.634632348885949,0.00346295361085059,0.641025641025641,1.26233630768621,0,0.621428571428571
"CLUB-1PREGO SPAG SAUCE",0.279879991600437,0.00757521102373566,0.133333333333333,11.0050348746266,0.0151504220474713,0.582191780821918
"CREAMETTE ANGEL HAIR PSTA",0.239644154697267,0.000216434600678162,0.488888888888889,7.31021806436783,0,0.446298984034833
"CREAMETTE ELBOW MACARONI",0.302141674226819,0.00764735589062838,0.361111111111111,2.8713420336535,0,0.341836734693878
"CREAMETTE LASAGNA MACR",0.266947098779298,0,0.218181818181818,9.88562294786924,0.057571603780391,0.382205513784461
"CREAMETTE ROTINI MACARONI",0.214529572940097,0.00721448668927206,0.6,2.96911965200159,0.0126253517062261,0.384541062801932
"CREAMETTE SPAGHETTI",0.662927515974783,0.00995599163119544,0.193333333333333,10.867614123154,0.00620445855277397,0.448637316561845
"CREAMETTE SPAGHETTI THIN",0.653940029753553,0.00303008440949426,0.226666666666667,11.8276328589165,0.00584373421831037,0.449350649350649
"CRMET LONG SPAG",0.219282765131159,0,0.377777777777778,10.6247929827922,0.00844094942644831,0.488163265306122
